ESTAR: Stopping Powers and Range Tables for Electrons

ALUMINUM                                                                   

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-02 1.650E+01 
1.250E-02 1.398E+01 
1.500E-02 1.221E+01 
1.750E-02 1.088E+01 
2.000E-02 9.851E+00 
2.500E-02 8.345E+00 
3.000E-02 7.294E+00 
3.500E-02 6.516E+00 
4.000E-02 5.916E+00 
4.500E-02 5.437E+00 
5.000E-02 5.046E+00 
5.500E-02 4.721E+00 
6.000E-02 4.446E+00 
7.000E-02 4.005E+00 
8.000E-02 3.668E+00 
9.000E-02 3.401E+00 
1.000E-01 3.185E+00 
1.250E-01 2.789E+00 
1.500E-01 2.521E+00 
1.750E-01 2.328E+00 
2.000E-01 2.183E+00 
2.500E-01 1.981E+00 
3.000E-01 1.849E+00 
3.500E-01 1.757E+00 
4.000E-01 1.691E+00 
4.500E-01 1.642E+00 
5.000E-01 1.604E+00 
5.500E-01 1.576E+00 
6.000E-01 1.554E+00 
7.000E-01 1.522E+00 
8.000E-01 1.503E+00 
9.000E-01 1.492E+00 
1.000E+00 1.486E+00 
1.250E+00 1.484E+00 
1.500E+00 1.491E+00 
1.750E+00 1.504E+00 
2.000E+00 1.518E+00 
2.500E+00 1.549E+00 
3.000E+00 1.580E+00 
3.500E+00 1.609E+00 
4.000E+00 1.637E+00 
4.500E+00 1.664E+00 
5.000E+00 1.690E+00 
5.500E+00 1.715E+00 
6.000E+00 1.739E+00 
7.000E+00 1.787E+00 
8.000E+00 1.833E+00 
9.000E+00 1.877E+00 
1.000E+01 1.921E+00 
1.250E+01 2.029E+00 
1.500E+01 2.134E+00 
1.750E+01 2.237E+00 
2.000E+01 2.340E+00 
2.500E+01 2.544E+00 
3.000E+01 2.746E+00 
3.500E+01 2.947E+00 
4.000E+01 3.148E+00 
4.500E+01 3.349E+00 
5.000E+01 3.550E+00 
5.500E+01 3.751E+00 
6.000E+01 3.951E+00 
7.000E+01 4.353E+00 
8.000E+01 4.755E+00 
9.000E+01 5.158E+00 
1.000E+02 5.561E+00 
1.250E+02 6.571E+00 
1.500E+02 7.583E+00 
1.750E+02 8.598E+00 
2.000E+02 9.614E+00 
2.500E+02 1.165E+01 
3.000E+02 1.369E+01 
3.500E+02 1.574E+01 
4.000E+02 1.778E+01 
4.500E+02 1.983E+01 
5.000E+02 2.189E+01 
5.500E+02 2.394E+01 
6.000E+02 2.599E+01 
7.000E+02 3.010E+01 
8.000E+02 3.421E+01 
9.000E+02 3.833E+01 
1.000E+03 4.244E+01 
