ESTAR: Stopping Powers and Range Tables for Electrons

G4 Concrete (Density=2.5 g/cm3) (I=136.7 eV)

Kinetic    Total     
Energy     Stp. Pow. 
MeV        MeV cm2/g 

 1.000E-02 1.780E+01 
 1.250E-02 1.505E+01 
 1.500E-02 1.312E+01 
 1.750E-02 1.168E+01 
 2.000E-02 1.056E+01 
 2.500E-02 8.935E+00 
 3.000E-02 7.800E+00 
 3.500E-02 6.962E+00 
 4.000E-02 6.315E+00 
 4.500E-02 5.801E+00 
 5.000E-02 5.381E+00 
 5.500E-02 5.032E+00 
 6.000E-02 4.737E+00 
 7.000E-02 4.265E+00 
 8.000E-02 3.904E+00 
 9.000E-02 3.618E+00 
 1.000E-01 3.387E+00 
 1.250E-01 2.964E+00 
 1.500E-01 2.679E+00 
 1.750E-01 2.473E+00 
 2.000E-01 2.319E+00 
 2.500E-01 2.105E+00 
 3.000E-01 1.965E+00 
 3.500E-01 1.867E+00 
 4.000E-01 1.795E+00 
 4.500E-01 1.742E+00 
 5.000E-01 1.701E+00 
 5.500E-01 1.669E+00 
 6.000E-01 1.644E+00                                                                                                                                                       
 7.000E-01 1.609E+00 
 8.000E-01 1.586E+00 
 9.000E-01 1.572E+00 
 1.000E+00 1.563E+00 
 1.250E+00 1.555E+00 
 1.500E+00 1.558E+00 
 1.750E+00 1.567E+00 
 2.000E+00 1.578E+00 
 2.500E+00 1.604E+00 
 3.000E+00 1.631E+00 
 3.500E+00 1.658E+00 
 4.000E+00 1.684E+00 
 4.500E+00 1.710E+00 
 5.000E+00 1.735E+00 
 5.500E+00 1.759E+00 
 6.000E+00 1.783E+00 
 7.000E+00 1.828E+00 
 8.000E+00 1.873E+00 
 9.000E+00 1.916E+00 
 1.000E+01 1.958E+00 
 1.250E+01 2.061E+00 
 1.500E+01 2.161E+00 
 1.750E+01 2.260E+00 
 2.000E+01 2.357E+00 
 2.500E+01 2.549E+00 
 3.000E+01 2.739E+00 
 3.500E+01 2.928E+00 
 4.000E+01 3.117E+00 
 4.500E+01 3.305E+00 
 5.000E+01 3.493E+00 
 5.500E+01 3.681E+00 
 6.000E+01 3.869E+00 
 7.000E+01 4.246E+00 
 8.000E+01 4.623E+00 
 9.000E+01 5.000E+00 
 1.000E+02 5.378E+00 
 1.250E+02 6.324E+00 
 1.500E+02 7.273E+00 
 1.750E+02 8.224E+00 
 2.000E+02 9.176E+00 
 2.500E+02 1.108E+01 
 3.000E+02 1.300E+01 
 3.500E+02 1.491E+01 
 4.000E+02 1.683E+01 
 4.500E+02 1.875E+01 
 5.000E+02 2.067E+01 
 5.500E+02 2.259E+01 
 6.000E+02 2.452E+01 
 7.000E+02 2.836E+01 
 8.000E+02 3.222E+01 
 9.000E+02 3.607E+01 
 1.000E+03 3.993E+01
