ESTAR: Stopping Powers and Range Tables for Electrons

POLYETHYLENE                                                                 

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-02 2.442E+01 
1.250E-02 2.049E+01 
1.500E-02 1.775E+01 
1.750E-02 1.573E+01 
2.000E-02 1.417E+01 
2.500E-02 1.192E+01 
3.000E-02 1.036E+01 
3.500E-02 9.209E+00 
4.000E-02 8.328E+00 
4.500E-02 7.630E+00 
5.000E-02 7.062E+00 
5.500E-02 6.591E+00 
6.000E-02 6.194E+00 
7.000E-02 5.560E+00 
8.000E-02 5.077E+00 
9.000E-02 4.695E+00 
1.000E-01 4.387E+00 
1.250E-01 3.825E+00 
1.500E-01 3.446E+00 
1.750E-01 3.174E+00 
2.000E-01 2.970E+00 
2.500E-01 2.687E+00 
3.000E-01 2.501E+00 
3.500E-01 2.373E+00 
4.000E-01 2.277E+00 
4.500E-01 2.204E+00 
5.000E-01 2.147E+00 
5.500E-01 2.103E+00 
6.000E-01 2.068E+00 
7.000E-01 2.015E+00 
8.000E-01 1.980E+00 
9.000E-01 1.956E+00 
1.000E+00 1.939E+00 
1.250E+00 1.917E+00 
1.500E+00 1.910E+00 
1.750E+00 1.911E+00 
2.000E+00 1.916E+00 
2.500E+00 1.932E+00 
3.000E+00 1.950E+00 
3.500E+00 1.970E+00 
4.000E+00 1.989E+00 
4.500E+00 2.008E+00 
5.000E+00 2.026E+00 
5.500E+00 2.044E+00 
6.000E+00 2.061E+00 
7.000E+00 2.094E+00 
8.000E+00 2.126E+00 
9.000E+00 2.156E+00 
1.000E+01 2.184E+00 
1.250E+01 2.253E+00 
1.500E+01 2.317E+00 
1.750E+01 2.379E+00 
2.000E+01 2.439E+00 
2.500E+01 2.556E+00 
3.000E+01 2.670E+00 
3.500E+01 2.782E+00 
4.000E+01 2.893E+00 
4.500E+01 3.004E+00 
5.000E+01 3.114E+00 
5.500E+01 3.223E+00 
6.000E+01 3.333E+00 
7.000E+01 3.551E+00 
8.000E+01 3.769E+00 
9.000E+01 3.987E+00 
1.000E+02 4.205E+00 
1.250E+02 4.749E+00 
1.500E+02 5.294E+00 
1.750E+02 5.839E+00 
2.000E+02 6.385E+00 
2.500E+02 7.479E+00 
3.000E+02 8.574E+00 
3.500E+02 9.671E+00 
4.000E+02 1.077E+01 
4.500E+02 1.187E+01 
5.000E+02 1.297E+01 
5.500E+02 1.407E+01 
6.000E+02 1.517E+01 
7.000E+02 1.737E+01 
8.000E+02 1.958E+01 
9.000E+02 2.179E+01 
1.000E+03 2.400E+01 
