ESTAR: Stopping Powers and Range Tables for Electrons

Stainless Steel (Density=8 g/cm3) (I=282.5 eV)

Kinetic    Total     
Energy     Stp. Pow. 
MeV        MeV cm2/g 

 1.000E-02 1.395E+01 
 1.250E-02 1.191E+01 
 1.500E-02 1.046E+01 
 1.750E-02 9.359E+00 
 2.000E-02 8.501E+00 
 2.500E-02 7.240E+00 
 3.000E-02 6.354E+00 
 3.500E-02 5.695E+00 
 4.000E-02 5.184E+00 
 4.500E-02 4.776E+00 
 5.000E-02 4.441E+00 
 5.500E-02 4.162E+00 
 6.000E-02 3.926E+00 
 7.000E-02 3.547E+00 
 8.000E-02 3.255E+00 
 9.000E-02 3.025E+00 
 1.000E-01 2.837E+00 
 1.250E-01 2.490E+00 
 1.500E-01 2.254E+00 
 1.750E-01 2.083E+00 
 2.000E-01 1.955E+00 
 2.500E-01 1.777E+00 
 3.000E-01 1.661E+00 
 3.500E-01 1.581E+00 
 4.000E-01 1.523E+00 
 4.500E-01 1.480E+00 
 5.000E-01 1.448E+00 
 5.500E-01 1.424E+00 
 6.000E-01 1.405E+00 
 7.000E-01 1.379E+00 
 8.000E-01 1.364E+00 
 9.000E-01 1.356E+00 
 1.000E+00 1.352E+00 
 1.250E+00 1.355E+00 
 1.500E+00 1.367E+00 
 1.750E+00 1.383E+00 
 2.000E+00 1.401E+00 
 2.500E+00 1.440E+00 
 3.000E+00 1.481E+00 
 3.500E+00 1.521E+00 
 4.000E+00 1.560E+00 
 4.500E+00 1.599E+00 
 5.000E+00 1.637E+00 
 5.500E+00 1.675E+00 
 6.000E+00 1.713E+00 
 7.000E+00 1.787E+00 
 8.000E+00 1.859E+00 
 9.000E+00 1.931E+00 
 1.000E+01 2.002E+00 
 1.250E+01 2.178E+00 
 1.500E+01 2.353E+00 
 1.750E+01 2.525E+00 
 2.000E+01 2.698E+00 
 2.500E+01 3.041E+00 
 3.000E+01 3.385E+00 
 3.500E+01 3.728E+00 
 4.000E+01 4.072E+00 
 4.500E+01 4.417E+00 
 5.000E+01 4.762E+00 
 5.500E+01 5.108E+00 
 6.000E+01 5.455E+00 
 7.000E+01 6.150E+00 
 8.000E+01 6.848E+00 
 9.000E+01 7.547E+00 
 1.000E+02 8.249E+00 
 1.250E+02 1.001E+01 
 1.500E+02 1.177E+01 
 1.750E+02 1.354E+01 
 2.000E+02 1.532E+01 
 2.500E+02 1.887E+01 
 3.000E+02 2.243E+01 
 3.500E+02 2.600E+01 
 4.000E+02 2.957E+01 
 4.500E+02 3.315E+01 
 5.000E+02 3.673E+01 
 5.500E+02 4.031E+01 
 6.000E+02 4.389E+01 
 7.000E+02 5.106E+01 
 8.000E+02 5.824E+01 
 9.000E+02 6.542E+01 
 1.000E+03 7.260E+01 
